Unnamed: 0,name,description,country,year,genre
10.0,В августе 44-го,"По роману Владимира Богомолова о работе контрразведки СМЕРШ в годы войны на только что освобожденной от фашистов территории.События происходят в августе 1944 года. На территории уже освобожденной Белоруссии действуют агенты противника. Регулярно с территории республики в эфир выходит шпионская группа, передающая шифрованные радиограммы, которая остается неуловимой. Так возникает дело военной контрразведки ""Неман"", главную роль в которой предстоит сыграть капитану Алёхину и его оперативной группе.","Россия, Беларусь",2000.0,"военный фильм, шпионский фильм, экранизация"
11.0,Пальма,"Овчарка по кличке Пальма вынужденно расстается с хозяином: тот улетает заграницу, а верную собаку не берут на рейс и оставляют прямо на летном поле.Пальма прячется в аэропорту и каждый день встречает самолеты в надежде, что хозяин вернулся. Но время идет…9-летний Коля – тоже новенький в аэропорту: он потерял маму и переехал к отцу-пилоту, которого почти не знает. Пальма становится для мальчика родственной душой и лучшим другом. А отцу Коли, летчику Лазареву, предстоит заслужить доверие и любовь сына, сделав нелегкий выбор между карьерой и семьей. И найти способ не разлучить друзей, когда за Пальмой однажды возвращается хозяин.","Россия, Япония",2021.0,"драма, семейное кино"
12.0,Призрак,"Еще вчера Юрий Гордеев — амбициозный авиаконструктор и любимец женщин — был в шаге от своего триумфа. Его самолет ЮГ-1 должен был стать настоящим прорывом в отечественной авиации. Но сегодня его никто не видит и не слышит, и конкурент по бизнесу беспрепятственно закрывает его компанию. Все потому, что Юра разбился в автокатастрофе и стал призраком.Восьмиклассник Ваня Кузнецов был пустым местом всегда. Жертва гиперопеки матери, объект насмешек одноклассников, он боится даже заговорить с девочкой, в которую давно влюблен.У Юры есть неделя, чтобы закончить дело своей жизни и поднять самолет в воздух. Ваня — единственный, кто его видит и может ему помочь.",Россия,2015.0,"комедия, мистика"
13.0,Крик тишины,"По повести Тамары Цинберг «Седьмая симфония».Блокадный Ленинград. Февраль 1942 года.Заканчивается самая страшная блокадная зима. Невыносимый голод и холод. Нина Воронова (Светлана Смирнова-Марцинкевич) совсем отчаялась. Ее трёхлетний сын Митя (Лева Гиршов) ослабел, а карточки на хлеб уже отоварены на два дня вперед. Последняя надежда – эвакуация. Но с маленьким детьми не берут. Тогда женщина идет на чудовищный шаг – эвакуируется, оставив сына одного в промерзшей квартире.Во время налета мальчика спасает девочка-подросток Катя Никонорова (Алина Саргина). У самой Кати никого не осталось – отец погиб на фронте, мама недавно умерла от голода. Они с малышом никому не нужны.Девочка выдает Митю за своего брата и обещает себе сделать все, чтобы Митя выжил. Несмотря ни на что…",Россия,2019.0,"военный фильм, драма, социальная драма, экранизация"
14.0,Луной был полон сад,"Живут-поживают в Питере супруги. Он пишет мемуары о сталинских лагерях. Она, бывшая учительница, бегает по частным урокам, чтобы подработать к пенсии. Но однажды привычный ход жизни нарушается неожиданным событием: Вера Андреевна случайно встречает Алексея - свою первую любовь...",Россия,2000.0,драма
15.0,Любовь под прикрытием,"По роману Андрея Кивинова ""Одноклассница"". Мелодрама с криминальным уклоном поведает зрителю историю пары, отношения в которой начинают строиться со знакомства в районном милицейском участке и перерастают в сильную настоящую любовь.",Россия,2010.0,"криминальный фильм, мелодрама, экранизация"
16.0,Не хочу жениться!,"Принципиальный холостяк, мастер пластических операций при довольно странных обстоятельствах знакомится с длинноносой милиционершей. Сделав ей операцию, он подобно Пигмалиону, сотворившему Галатею, влюбляется в прекрасное творение руксвоих и заявляет: ""Я хочу на тебе жениться!""",Россия,1993.0,комедия
17.0,Монах и бес,"Фантастическая история первой половины XIX века.В мужском монастыре появляется новый насельник Иван Семенович. Но вместе с монахом в монастырь проникают темные силы, которые материализуются в лице Легиона (так он представился Ивану). Легион избрал Ивана объектом своей дьявольской работы, всячески искушая его, чтобы сбить с избранного им пути служения Богу. Но чем сильнее искушение, тем крепче духовные силы Ивана…",Россия,2016.0,"комедия, мистика, фэнтези"
18.0,Двенадцать чудес,"Обаятельная учительница математики из маленького российского городка мечтает о чудесах. И первое чудо случается с Наташей, когда в поезде она знакомится с молодым мужчиной - Максимом. Он приглашает ее поработать учителем его дочери Алисы, а мать Натальи приглашает в качестве домработницы...",Россия,2017.0,мелодрама
19.0,Всё о его бывшей,"Рита не верит в любовь. Ее опыт говорит, что выходить замуж нужно по расчету, а уж рассчитывать она умеет! Игорь кажется идеальным кандидатом. Но кто знает — не скрывается ли за благополучным фасадом какой-то роковой недостаток? Чтобы узнать о будущем муже как можно больше, Рита решает подружиться с его бывшей женой...",Россия,2018.0,мелодрама
20.0,Классик,"К профессиональному игроку на бильярде Савицкому обращаются люди с предложением пожертвовать 20 тысяч долларов в фонд ветеранов игры. Узнав, что многие уже дали эти суммы, жадный и подлый Савицкий тоже дает, но организует на дороге засаду бандитов, переодетых в милиционеров. Один из попавших в засаду чудом остается жив и сообщает своим о вероломстве игрока. Принимается решение наказать подонка, наказать тонко, при помощи бильярдной аферы. К Савицкому посылают суперигрока по кличке Классик в сопровождении телохранителя. Он должен выиграть деньги, ставка установлена в 150 тысяч наличными.",Россия,1998.0,"детектив, комедия"
21.0,Воспитание жестокости у женщин и собак,"Живет одинокая и красивая женщина, встречается с Виктором - волевым, жестким, ""настоящим"" мужчиной. Она находит брошеную собаку (ризеншнауцер), называет ее Нюрой, а любовнику не нравится присутствие животного, отвлекающее его от того, зачем он приходит. Они расстались. Женщина знакомится с кинологом Борисом, добрым и приятным парнем, который позже помогает ей искать украденную любимицу. Когда она находит Нюрку, новый хозяин, переименовавший ее в Дэзи, отдать ее отказался и пригрозил насилием.",Россия,1992.0,"драма, социальная драма"
22.0,Ворошиловский стрелок,"Прошли времена, когда действовали законы, и преступников, вне зависимости от их положения, ждало суровое наказание. Старик, чью внучку изнасиловали трое молодчиков, по-прежнему верит в святость правосудия. Однако ни милиция, в которой работает отец одного из негодяев, ни вышестоящие инстанции не делают ничего, чтобы покарать насильников. И тогда ветеран войны решает сам свершить свой справедливый суд. Он покупает винтовку с оптическим прицелом, снимает квартиру напротив дома подонков и ждет своего часа, вызывая из памяти смертельные навыки, о которых старался забыть навсегда...",Россия,1999.0,"драма, криминальный фильм, социальная драма"
23.0,Время собирать камни,"Июнь 1945 года, война окончена. Весь народ возвращается к мирной жизни, но сколько еще установлено войной ""мин на неизвлекаемость"" в сердцах и душах людей...Подписана капитуляция. Закончился один из самых страшных периодов страны. Что ждет людей, прошедших настоящий ад, впереди? С чем они войдут в новую жизнь? Лейтенант Онезорг, немецкий минер, не может жить с тем грузом, который ему достался. Он выбирает путь искупления. Повернуть время вспять хотя бы для своей совести - возможно ли это? Капитану Демину некуда возвращаться, война отняла у него не только здоровье, но и семью. Он не хочет, и даже немного боится мирной жизни. Но новое время вынуждает его жить по своим законам. Путь с врагом, с которым теперь волей обстоятельств ему придется сотрудничать, это его возвращение к миру...",Россия,2005.0,"военный фильм, драма"
24.0,Убийство на Ждановской,"В основе сюжета - событие, нашумевшее в свое время не без стараний 'четвертой власти' (то есть прессы), которая, когда ей разрешают сверху, работает в нашей стране не хуже, чем на Западе. Немалую лепту внес и следователь Владимир Калиниченко, занимавшийся расследованием убийства сотрудника КГБ сотрудниками милиции и рассказывавший при первой возможности о том, какую роль имело это расследование в борьбе за власть, что велась в последние месяцы жизни Леонида Ильича Брежнева, руководившего страной с чувством глубокого удовлетворения.",Россия,1992.0,Не указан
25.0,Люблю тебя любую,"Сёстры, Наталья и Лариса, любительницы спорить. В одном из споров ставкой становится половина магазина, принадлежащего обеим сестрам. А предметом спора - убежденность Натальи в своем умении ""выдрессировать"" любого мужчину. Мужчиной, который должен пригласить Наталью замуж, по воле Ларисы и её мужа становится обыкновенный дворник Николай. Лариса точно знает, что сестра ненавидит Николая с первого взгляда...",Россия,2017.0,мелодрама
26.0,Особенности национальной рыбалки,"Поохотились - теперь порыбачим! Наши старые знакомые, генерал Иволгин, егерь Кузьмич и Лёва Соловейчик, меняют двустволки на удочки. Переведите дух, зайцы и лисы, трепещите, караси и щуки! Герои самой лучшей народной комедии 1995 года выходят из леса на бережок в новом, ещё более смешном, ешё более народном фильме.",Россия,1998.0,"комедия, приключения"
27.0,Кушать подано!,"Новогодняя адаптация популярной пьесы французского драматурга Марка Камолетти ""Играем в дружную семью, или Гарнир по-французски"". Как могут достойно отметить Новый год двое настоящих мужчин? Конечно же, отправиться в загородный дом, без деток и супруг, и устроить такое веселье, чтобы стены тряслись и дым стоял коромыслом! Закадычные друзья строят самые радужные планы, предвкушая сказочную ночь. Но их мечты разрушает жена хозяина, ни в какую не желающая покидать дом. Главный герой мечется между женой и любовницей, обманывая и ту, и другую. Друг семьи пытается помочь ему выпутаться из этой щекотливой ситуации, но только подливает масла в огонь. Еще есть приглашенная кухарка, которой пришлось по ходу действия исполнять роль то любовницы, то племянницы. Чем же закончится эта веселая новогодняя неразбериха?",Украина,2005.0,"комедия, экранизация"
28.0,Коля-перекати поле,"Продолжение знаменитой картины ""Облако-рай"". Точнее, это — новая история про тех же героев. Время действия — наши дни, место действия — небольшой провинциальный городок, затерявшийся на просторах России. Когда-то случайно брошенная при свидетелях фраза заставила Колю оставить свой дом и любимую девушку. Перебороздив моря и океаны, Коля возвращается в родной город, не подозревая о произошедших в его отсутствие переменах. Для земляков такой сюрприз — полная неожиданность, выплеснувшаяся бурей эмоций и переросшая в панику, ведь приезд Коли — самая настоящая угроза их размеренной жизни. И снова, как десять лет назад, Коля выдумывает историю, которая переворачивает всё с ног на голову, увлекая зрителей в новый, еще более крутой водоворот приключений…",Россия,2005.0,"комедия, мелодрама, приключения"
29.0,Грешник,"Когда Владу было 5 лет, его мать убили, и в ее смерти все последующие годы он винит отца. На 20-ю годовщину трагедии юноша решает расставить точки над ""i"" и собирает всех родственников. В процессе поиска и встреч с ними Влад выясняет факты, которые меняют всё...",Россия,2014.0,драма
30.0,"Некрасивая подружка - 9. Страшная, страшная сказка","Пожилая актриса Елизавета Науменко уверена, что судьба поступила с ней жестоко. Она прожила жизнь не в ту эпоху! Ее слабость - девятнадцатый век, и на старости лет она хочет пожить так, как ей нравится. Она одевается в исторические костюмы и просит сиделок называть ее «леди Бетси». Сиделок оплачивает сын - таким образом он глушит чувство вины за то, что уделяет матери недостаточно внимания. Вот только с сиделками все время что-то происходит. Первая кончает с собой от несчастной любви. Вторую находят задушенной в саду. Тоня пытается найти убийцу, а сын Елизаветы Петровны приводит в дом новую девушку...",Россия,2022.0,детектив
31.0,Некрасивая подружка - 4. Любовный квадрат,"Переживая кризис в личной жизни, Тоня переводится на службу в другой город. Здесь она надеется погрузиться в работу и забыть обо всем. Но новое начальство по-своему смотрит на роль женщины в уголовном розыске. Тоню «ссылают» в самый захудалый отдел, ее сотрудники теперь - молодая фифа и увядающая красотка, у которой на уме только тяжелый роман с женатым мужчиной. Ну и дела дают самые безнадежные. Впрочем, то, что грозило стать «глухарем», неожиданно оказывается весьма интересным расследованием. Убит бизнесмен и его любовница. По зловещей иронии судьбы, свидетелями оказываются жена убитого и его вторая любовница, на которой он собирался жениться. У каждого из этого любовного четырехугольника - своя тайна. Только разгадав их все, Тоня сможет раскрыть убийство.",Россия,2021.0,детектив
32.0,Война,"От режиссера фильмов ""Брат"" И ""Брат 2""! Он был солдатом на чеченской войне. В плену он стал рабом. Его отпустили и сказали: ""Не приходи больше!"" Но он вернулся... Это не ""Брат 3"". Это ""Война"".Англичанин Джон и русский солдат Иван встретились впервые в плену, в яме для хранения продуктов, контролируемой полевым командиром Асланом. Аслан хоть и отрезал заложникам головы, но Джона с Иваном отпустил. Ивана - по невыясненным причинам, а Джона - чтобы два миллиона фунтов нашел, выкуп за невесту. Второй раз Джон с Иваном встретились в Сибири, на родине Ивана. Встретились и отправились обратно в Чечню - выручать невесту Джона и капитана Медведева.",Россия,2002.0,"военный фильм, драма"
33.0,Жена по совместительству,"Нина, молодая вдова и мать двоих детей, устраивается «домоправительницей» к энергичной бизнесвумен, Анне.Сын хозяйки Игорь, по виду типичный представитель «золотой» молодёжи, совершает поступок – идет в военкомат с просьбой призвать его.Чтобы уберечь сына от службы в армии, Анна вынуждает его вступить в фиктивный брак с Ниной. Поначалу молодожены ненавидят друг друга, но обстоятельства заставят их взглянуть друг на друга новыми глазами...",Россия,2015.0,мелодрама
34.0,Ненормальный,"Основано на реальных событиях.8-летний Коля не такой, как все. Мама мальчика Татьяна вслед за врачами уже не верит, что врожденная болезнь отступит, и ребенок когда-нибудь станет «нормальным». Но ее новый знакомый Юрий твердо намерен поставить Колю на ноги с помощью своей уникальной системы гимнастики. А когда во время занятий случайно выясняется, что у мальчика талант к музыке, обучение игре на фортепиано становится еще одним этапом на пути к выздоровлению.Впереди у Коли – престижный конкурс пианистов в Китае, первое свидание и масса препятствий, преодолеть которые ему помогут целительная сила музыки и отцовской любви.",Россия,2024.0,"драма, комедия, музыкальный фильм"
35.0,Стрелец неприкаянный,"Нищенствующий в Париже журналист Гера приезжает в Москву к умирающему деду-ученому, и тот сообщает ему об устроенном им коридоре времени в 1966 год. Гера, конечно, сначала не поверил, но, когда дед умер, нашел коридор на заброшенной даче и начал потихоньку таскать золотишко и менять на доллары, благо наивный дед оставил ему в наследство чемодан со старыми рублями. И если неприятности начались в прошлом с комитетчиками, то в настоящем - со сбытом золота и мафиози, желающими прибрать к рукам ""производство"". Но это только сюжет. Своеобразное обаяние картине придает общая стилистика и полумистическая линия любви Геры к прекрасной женщине, живущей одновременно в двух измерениях - в Подмосковье 1966 года и в Париже 1993-го.","Россия, Франция, США",1993.0,драма
36.0,Он – дракон,"По роману известных фантастов Сергея и Марины Дяченко.В разгар свадьбы княжну Мирославу похищает дракон, унося в свой замок на острове. В прошлом остались родные, жених, теперь только каменный плен в странной компании – диковинной Руконожки и загадочного молодого человека… но кто он и как оказался на острове? Она раскроет эту тайну слишком поздно: любовь к нему, человеку-дракону, обернется пыткой для них обоих.",Россия,2015.0,"мелодрама, приключения, фэнтези, экранизация"
37.0,Менялы,"СССР. Времена денежной реформы 1961 года. Сто рублей в одночасье превратились в десять. Но медных денег реформа не коснулась. Предприимчивый администратор парка культуры и отдыха Прохор Игнатьевич, желая увеличить свой капитал, пытается обменять крупную сумму на мелкую медь с помощью простодушного водителя Жоры Гракина и экс-зека Роланда Бабаскина...",Россия,1992.0,"приключения, трагикомедия"
38.0,Прощальные гастроли,"Четыре актрисы провинциального театра едут в одном купе на гастроли в Москву. Их связывает любовь к одному человеку - режиссеру этого театра. Правда, у кого-то все в прошлом, а у кого-то в настоящем.","Россия, Беларусь",1992.0,Не указан
39.0,Майский дождь,"В жизни Ольги происходит то самое событие, которого все девушки ждут годами: Марк делает ей предложение! Все происходит, как положено: розы, шампанское, назначение точной даты свадьбы, планы о путешествии, будущих детях... Но вдруг романтику момента нарушают удары в стену: недавно переехавший сосед устроил очередную вечеринку. «Сколько это может продолжаться?» - сетуют друг другу Ольга и Марк. Ольге приходит идея.К соседу Денису они приходят с деловым предложением: продать им с Ольгой квартиру, а они ему подыщут новую – никаких хлопот и даже финансовая выгода. Но Денис не намерен соглашаться… Пара даже после отказа не хочет  отступать: Ольга уже нафантазировала прекрасную большую квартиру и милых детишек! Удастся ли Ольге воплотить свою мечту в реальность, или ей с Марком так и придется страдать из-за столь проблемного соседа?..",Россия,2012.0,романтическая комедия
40.0,Некрасивая подружка - 14. Ищите женщину,"Жизнь скромного школьного учителя Ануфриева казалась скучной... пока он не погиб при весьма странных обстоятельствах. И тут выяснилось, что о нем никто ничего не знал! Каждую ночь он в одиночестве ходил по городу, как будто искал кого-то. А в его квартире явно жила какая-то женщина, которую никто никогда не видел. Но самым неожиданным оказывается его завещание, с которого и начинает разматываться клубок расследования...",Россия,2023.0,детектив
41.0,Сёстры,"В этих девочках течет одна кровь, но они ненавидят друг друга. Дине – восемь, она играет на скрипке и мечтает стать актрисой. Свете – уже тринадцать, она отлично стреляет и хочет стать снайпером в Чечне. Эти юные существа вынуждены жить в мире, где царят волчьи порядки. В мире, где крадут и убивают детей, а закон - всего лишь бледный и бессильный призрак...Вышедший на свободу отец Дины оказывается в тяжёлой ситуации: ""коллеги"" из братвы обвиняют его в краже ""общака"". Бандиты собираются похитить его ребёнка, и он вынужден прятать обеих девочек. Но убежище оказывается ненадёжным, и детям приходится бежать. Бежать, куда глаза глядят. Без денег, без родных и друзей... Всего за несколько страшных дней двум маленьким, беззащитным девочкам предстоит столкнуться со всеми ужасами нашей жестокой жизни. Им придется повзрослеть на много лет. Но девочки узнают, что существует единственная вещь, которая сильнее зла и несправедливости, которая может спасти этот несовершенный мир. Её имя - Любовь. И девочки полюбят друг друга. Они станут СЁСТРАМИ.",Россия,2001.0,"боевик, драма, криминальный фильм, мелодрама, социальная драма"
